id,Move,Type,Category,Power,Accuracy,AP Cost,Description
140,Ice Wall,Ice,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
141,Icicle Dart,Ice,Ranged Attack,70,85,2,Hits one target. Uses the user’s Speed stat instead of Ranged Attack.
142,Incinerate,Fire,Melee Attack,40,100,3,Hits one target multiple times.
143,Inflame,Fire,Ranged Attack,60,100,2,Hits one target.
144,Insomnia,Astral,Miscellaneous,0,70,0,Prevents the user from falling asleep.
145,Ionised Air,Lightning,Status Effect,0,100,3,Gives the target team Conductive status for 3 turn(s).
146,Iron Filings,Metal,Status Effect,0,100,1,Makes the target Conductive.
147,Jagged Edge,Typeless,Melee Attack,40,-1,0,Automatically inflicts damage when a melee attack misses the user.
148,Jump Scare,Typeless,Melee Attack,30,100,1,Chance to cause the target to flinch.
149,Last Rites,Typeless,Melee Attack,200,100,10,Hits one target.
150,Leech,Plant,Status Effect,0,100,1,Gives the target Leeched status for 3 turn(s).
151,Life Absorb,Plant,Melee Attack,30,100,1,Recovers an amount of HP equal to the damage dealt.
152,Liftoff,Air,Status Effect,0,100,0,Gives the user AP Boost and Speed Up at the end of their third turn.
153,Lightning Bolt,Lightning,Ranged Attack,90,100,3,Hits one target.
154,Lightning Camouflage,Lightning,Status Effect,0,100,2,Changes the type of the user. Automatically used at the start of battle for 0 AP.
155,Lightning Coating,Lightning,Status Effect,0,100,2,Changes the type of the user or an ally.
156,Lightning Wall,Lightning,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
157,Liquid Body,Poison,Miscellaneous,0,100,0,"Prevents the user from being inflicted with Burned, but makes all incoming Ice and Lightning-type attacks critical."
158,Machine Curse,Metal,Miscellaneous,0,100,0,Reflects all damage and statuses dealt by moves triggered by other passive moves back onto the user.
159,Magic Tome,Astral,Ranged Attack,70,100,3,Hits one target. Lowers the target’s Ranged Defence.
160,Magnet,Metal,Status Effect,0,100,1,Used automatically at the start of battle for 0 AP. Prevents opponents targeting user’s allies for 3 turn(s).
161,Meditate,Astral,Status Effect,0,100,3,Puts the user to sleep. Increases the user’s attack and defence stats every turn it’s asleep.
162,Metal Camouflage,Metal,Status Effect,0,100,2,Changes the type of the user. Automatically used at the start of battle for 0 AP.
163,Metal Coating,Metal,Status Effect,0,100,2,Changes the type of the user or an ally.
164,Metal Resistance,Metal,Miscellaneous,0,100,0,"Passively reduces incoming Metal-type damage by 50%, and negates any reactions that would occur. Does not affect critical hits."
165,Metal Riff,Metal,Ranged Attack,60,100,3,Hits a whole team. Becomes an Air-type attack when equipped to a Metal-type tape.
166,Metal Wall,Metal,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
167,Meteor Barrage,Earth,Ranged Attack,20,100,4,Hits each member of a team multiple times.
168,Mind-Meld,Astral,Status Effect,0,-1,2,The user shares its moves with its allies.
169,Moonshine,Astral,Ranged Attack,30,100,1,Hits one target. Inflicts the Confused status on the target.
170,Mountain Smash,Earth,Melee Attack,90,100,4,Hits one target. Lowers the target’s Melee Defence.
171,Multi Shot,Typeless,Ranged Attack,20,100,3,Hits one target multiple times.
172,Multi Smack,Typeless,Melee Attack,20,100,3,Hits one target multiple times.
173,Multicopy,Typeless,Status Effect,0,100,0,"If an opponent gains multitarget or multistrike, the user does so too."
174,Neutralise,Water,Miscellaneous,0,100,0,Automatically removes the user’s debuffs when their HP falls below 50%.
175,New Leaf,Plant,Miscellaneous,0,-1,3,Removes status effects from the target.
176,Nod,Typeless,Status Effect,0,100,1,Lowers the target’s Melee Defence.
177,Nurse,Typeless,Miscellaneous,0,-1,5,Heals one target for 50% of their Max HP.
178,Paint Swipe,Typeless,Melee Attack,90,100,1,"Can only be used if the user has a coating active. Hits one target, and transfers the coating onto the target. Always goes last."
179,Parry Stance,Beast,Status Effect,0,100,2,Reflects the first melee attack received this round.
180,Peekaboo,Typeless,Status Effect,0,100,1,Lowers the target’s Accuracy.
181,Phase Shift,Astral,Miscellaneous,0,100,0,The user’s attacks can hit ghosts.
182,Pity AP,Typeless,Miscellaneous,0,100,0,The user gains 1 AP each time an attack of theirs misses.
183,Plant Camouflage,Plant,Status Effect,0,100,2,Changes the type of the user. Automatically used at the start of battle for 0 AP.
184,Plant Coating,Plant,Status Effect,0,100,2,Changes the type of the user or an ally.
185,Plant Resistance,Plant,Miscellaneous,0,100,0,"Passively reduces incoming Plant-type damage by 50%, and negates any reactions that would occur. Does not affect critical hits."
186,Plant Wall,Plant,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
187,Plastic Camouflage,Plastic,Status Effect,0,100,2,Changes the type of the user. Automatically used at the start of battle for 0 AP.
188,Plastic Coating,Plastic,Status Effect,0,100,2,Changes the type of the user or an ally.
189,Plastic Knife,Plastic,Melee Attack,40,100,3,Hits one target multiple times.
190,Plastic Resistance,Plastic,Miscellaneous,0,100,0,"Passively reduces incoming Plastic-type damage by 50%, and negates any reactions that would occur. Does not affect critical hits."
191,Plastic Wall,Plastic,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
192,Poison Camouflage,Poison,Status Effect,0,100,2,Changes the type of the user. Automatically used at the start of battle for 0 AP.
193,Poison Coating,Poison,Status Effect,0,100,2,Changes the type of the user or an ally.
194,Poison Pollen,Plant,Status Effect,0,100,1,Gives the target Poisoned status for 3 turn(s).
195,Poison Resistance,Poison,Miscellaneous,0,100,0,"Passively reduces incoming Poison-type damage by 50%, and negates any reactions that would occur. Does not affect critical hits."
196,Poison Wall,Poison,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
197,Pole Vault Assault,Air,Melee Attack,90,100,7,Hits one target multiple times.
198,Pre-emptive Strike,Typeless,Melee Attack,30,100,0,Automatically hits one opponent at the start of battle.
199,Prismatic,Glitter,Status Effect,0,-1,0,Randomises the user’s type at the end of each round.
200,Provoke,Poison,Status Effect,0,100,1,Prevents opponents from directly targeting the user’s allies for 3 turns.
201,Pumpkin Pie,Plant,Status Effect,0,-1,2,Raises the user’s Speed and AP generation.
202,Pustule Bomb,Poison,Ranged Attack,60,100,4,Hits a whole team.
203,Quick Smack,Typeless,Melee Attack,30,100,1,Hits one target. Takes priority over other moves.
204,Radiation Breath,Poison,Ranged Attack,20,100,4,Hits each member of a team multiple times.
205,Radioactive,Fire,Status Effect,0,-1,0,Chance to burn an opponent automatically upon melee contact.
206,Raise Arms,Typeless,Status Effect,0,100,1,Raises the user’s Ranged Attack.
207,Raise Shields,Typeless,Status Effect,0,100,1,Raises the user’s Ranged Defence.
208,Random Starter,Typeless,Miscellaneous,0,100,0,"Chance to automatically use another move at random, for 0 AP, at the start of battle."
209,Rapid Fire,Fire,Ranged Attack,30,100,5,"Hits one target multiple times, with priority over other moves."
210,Recycle,Plastic,Miscellaneous,0,100,0,Destroys the user’s wall and gives them an amount of AP equal to its remaining duration.
211,Retribution,Typeless,Status Effect,0,-1,0,Activates when an ally is defeated. Raises the user’s attack stats.
212,Return Fire,Typeless,Ranged Attack,15,100,0,Chance to be used automatically when hit with a ranged attack.
213,Revenge Strike,Typeless,Melee Attack,15,100,0,Chance to be used automatically when hit with a melee attack.
214,Revolving Door,Glass,Miscellaneous,0,100,2,Steals the target’s wall and transfers it to the user.
215,Ricochet,Typeless,Miscellaneous,0,100,0,The user’s ranged attacks have a 50% chance to ignore opponents’ walls.
216,Ritual,Astral,Status Effect,0,100,6,Brings the user back to life at 25% HP upon defeat.
217,Roll Again,Typeless,Miscellaneous,0,100,0,"Chance to automatically use another move at random, at the end of the turn."
218,Royal Flush,Water,Ranged Attack,20,100,6,Removes all status effects from the user. Damage is multiplied by the number of statuses removed.
219,Sandstorm,Earth,Ranged Attack,60,100,3,Hits a whole team. Reduces the targets’ remaining status effect durations by 1.
220,Scorch,Fire,Status Effect,0,100,1,Gives the target Burned status for 3 turn(s).
221,Self-Assured,Typeless,Miscellaneous,0,70,0,Prevents the user from being inflicted with Confused.
222,Self-Destruct,Fire,Ranged Attack,60,100,0,"Causes the user to explode upon defeat, damaging all of those around it."
223,Sharp Edges,Typeless,Status Effect,0,100,2,Gives the user a Contact Damage status for 3 turn(s).
224,Sharpen,Typeless,Status Effect,0,100,1,Raises the user’s Melee Attack.
225,Shear Luck,Typeless,Miscellaneous,0,100,0,The user’s Evasion is passively raised in proportion to the amount of HP lost.
226,Shield Bash,Metal,Melee Attack,90,100,3,Hits one target. Uses the user’s Melee Defence stat instead of Melee Attack.
227,Shooting Star,Astral,Ranged Attack,60,100,2,Hits one target.
228,Shrapnel,Metal,Status Effect,0,100,1,Damages the target each time it transforms.
229,Silicon Slash,Glass,Melee Attack,60,100,2,Hits one target.
230,Sleep Talk,Typeless,Ranged Attack,120,1,0,Hits one target.
231,Sleep Walk,Typeless,Melee Attack,120,1,0,Hits one target.
232,Slice,Typeless,Melee Attack,30,100,1,Hits a whole team.
233,Smack,Typeless,Melee Attack,30,100,0,Hits one target.
234,Snooze Spore,Plant,Status Effect,0,50,2,Gives the target Sleep status for 3 turn(s).
235,Snow Rush,Ice,Melee Attack,60,100,3,Hits one target. Lowers the target’s Speed.
236,Sonic Boom,Air,Ranged Attack,60,100,3,Hits a whole team.
237,Spit,Typeless,Ranged Attack,30,100,0,Hits one target.
238,Splinter,Plant,Melee Attack,15,-1,0,Chance to hurt an opponent automatically upon melee contact. Damage is based on the user’s Melee Defence.
239,Spray,Typeless,Ranged Attack,30,100,1,Hits a whole team.
240,Spring-Load,Plastic,Status Effect,0,-1,0,Automatically gives the user the Spring-Loaded status if they don’t already have it. This turns the user’s melee attack into ranged attacks.
241,Sprint,Typeless,Status Effect,0,100,1,Raises the user’s Speed.
242,Stab In The Dark,Typeless,Melee Attack,100,10,0,Hits one target.
243,Status Resistance,Metal,Miscellaneous,0,100,0,"The user takes reduced damage from the Burned, Poisoned, and Leeched status effects."
244,Sticker Trick,Glitter,Status Effect,0,100,3,Replaces the last move the target used with Booby Trap. Booby Trap damages the user.
245,Sticky Spray,Poison,Status Effect,0,100,3,Gives the target Evasion Nullified status for 3 turn(s).
246,Sticky Tongue,Beast,Melee Attack,40,75,1,Hits one target. Lowers the target’s Evasion.
247,Stony Look,Earth,Status Effect,0,50,2,Gives the target Petrified status for 3 turn(s).
248,Sturdy Armour,Metal,Miscellaneous,0,100,0,Prevents the user’s Melee and Ranged Defence stats from being lowered.
249,Suction Cup Dart,Plastic,Ranged Attack,120,75,4,Hits one target.
250,Sugar Rush,Typeless,Miscellaneous,0,100,0,The user’s Speed is passively raised in proportion to the amount of HP lost.
251,Suit Up,Typeless,Status Effect,0,-1,2,Raises the user’s Melee Defence and Ranged Defence.
252,Summon Tulpa,Astral,Miscellaneous,0,1,0,Calls for help from the astral plane.
253,Superheated Fist,Fire,Melee Attack,60,100,2,Hits one target.
254,Sure-Fire,Fire,Status Effect,0,100,2,Guarantees the target’s next move won’t miss.
255,Taunt,Poison,Status Effect,0,100,1,"Sends the target berserk, forcing it to use only damaging moves for its next 2 turns."
256,The Old 1-2,Typeless,Melee Attack,60,100,5,Hits each member of a team multiple times.
257,Throw,Typeless,Ranged Attack,50,100,0,Uses a wall as a projectile. Remaining duration multiplies damage.
258,Thunder Blast,Lightning,Ranged Attack,60,100,3,Hits one target. The target is hit by an additional 30 Air-type damage.
259,Torrent,Water,Ranged Attack,40,100,4,Hits each member of a team multiple times.
260,Tower Defence,Earth,Status Effect,0,100,0,"Changes the user’s type to Earth, and raises their Defence stats. Takes effect the first time the user’s health falls below half."
261,Toxic Stab,Poison,Melee Attack,90,100,4,Hits one target. Poisons the target.
262,Toy Hammer,Plastic,Melee Attack,60,100,2,Hits one target.
263,Traffic Jam,Plastic,Status Effect,0,-1,2,Lowers all other fighters’ Speed stats.
264,Trap Jaw,Beast,Status Effect,0,50,0,Automatically used after Bite. Inflicts the target with Evasion Nullified.
265,Treasure Dig,Earth,Miscellaneous,0,50,2,Digs up a random item. The winner of the battle gets to keep the item.
266,Treat,Typeless,Status Effect,0,-1,1,Gives the target a random buff.
267,Trick,Typeless,Status Effect,0,100,1,Gives the target a random debuff.
268,Trip,Typeless,Status Effect,0,100,1,Lowers the target’s Speed.
269,Tripwire,Metal,Miscellaneous,0,100,0,"Chance to automatically use the next move in the list, for 0 AP, when an opponent uses a melee attack. The chance is reduced in proportion to the move’s normal AP cost."
270,Two Heads,Typeless,Status Effect,0,100,2,Used automatically at the start of battle for 0 AP. Gives the user Multistrike status for 3 turn(s).
271,Undertow,Water,Ranged Attack,90,100,2,Hits the last fighter to take their turn before this move.
272,Unicast,Lightning,Status Effect,0,100,2,Gives the target Unitarget status for 3 turn(s).
273,Unshakeable,Earth,Miscellaneous,0,100,0,Prevents the user from being inflicted with Flinched.
274,Vampire,Beast,Miscellaneous,0,100,0,The user gains half the benefit of opponents’ healing moves and status effects.
275,Vengeful Curse,Astral,Status Effect,0,100,0,Automatically inflicts 3 random debuffs on the last opponent to hit the user upon defeat.
276,Wallop,Typeless,Melee Attack,60,100,2,Hits one target.
277,Water Camouflage,Water,Status Effect,0,100,2,Changes the type of the user. Automatically used at the start of battle for 0 AP.
278,Water Coating,Water,Status Effect,0,100,2,Changes the type of the user or an ally.
279,Water Dance,Water,Melee Attack,90,85,2,Hits one target. Uses the user’s Speed stat instead of Melee Attack.
280,Water Wall,Water,Status Effect,0,100,2,Sacrifice 20% of HP to create a wall that will absorb up to 3 hits for up to 3 turns.
281,Waterproof,Water,Miscellaneous,0,100,0,"Passively reduces incoming Water-type damage by 50%, and negates any reactions that would occur. Does not affect critical hits."
282,Waterworks,Water,Ranged Attack,100,90,5,Hits everyone on the battlefield except the user.
283,Web Wrap,Poison,Status Effect,0,20,0,Gives the target Tape Jam status for 3 turn(s).
284,Window,Glass,Status Effect,0,100,1,Allows Ranged Attacks to hit the target through walls.
285,Wink,Typeless,Status Effect,0,100,1,Lowers the target’s Melee Attack.
286,Wonderful 7,Astral,Ranged Attack,90,100,4,Hits one target. Inflicts a random debuff.
287,Woodcutter,Plant,Melee Attack,40,100,3,Hits one target multiple times.
288,Yule Regret That,Ice,Ranged Attack,60,100,4,Hits one target. Lands a critical hit if the target has already taken damage this turn.
289,Zephyr,Air,Ranged Attack,60,100,2,Hits one target.
290,Zoomies,Beast,Melee Attack,30,100,1,Hits one target. Takes priority over other moves.